"ID","Type","Name","Documentation","Specialization"
"c854e740-b5ac-443f-a9eb-ecb13871aa00","Grouping","Справочники (ref)","Схема БД: ref",""
"897b30bb-5bde-4da4-9c5a-d2eab596e3c1","Grouping","Кадастровый учёт (cadastre)","Схема БД: cadastre",""
"95cf9913-9e15-4eea-bd51-5a6085f66b08","Grouping","Заявления (statements)","Схема БД: statements",""
"607d8645-7ce8-4a9d-9dfb-9431dbdf14ee","Grouping","Интеграция ERP/CRM (integration)","Схема БД: integration",""
"522ac0e1-9eed-4459-90e0-e5d9772c4ce7","Grouping","Росреестр (rosreestr)","Схема БД: rosreestr",""
"b91c3968-d357-405a-9eb8-19503307515c","Grouping","Файловое хранилище (storage)","Схема БД: storage",""
"8eb34ba0-a582-4db9-ab68-5b7d234abe1b","DataObject","ref.object_type","Справочник типов объектов недвижимости

Колонки:
• id SERIAL [PK]
• code VARCHAR(50) [NOT NULL]
• name VARCHAR(200) [NOT NULL]
• description TEXT",""
"0d25a91b-e708-4fa9-8939-76b8d62dcc6a","DataObject","ref.right_type","Справочник видов прав

Колонки:
• id SERIAL [PK]
• code VARCHAR(50) [NOT NULL]
• name VARCHAR(200) [NOT NULL]",""
"5bf48b35-f78c-483a-a8d4-cf9b33216231","DataObject","ref.encumbrance_type","Справочник видов обременений

Колонки:
• id SERIAL [PK]
• code VARCHAR(50) [NOT NULL]
• name VARCHAR(200) [NOT NULL]",""
"88d88be6-5523-41ca-8a6f-38ca695c42d2","DataObject","ref.exchange_status","Справочник статусов обмена

Колонки:
• id SERIAL [PK]
• code VARCHAR(50) [NOT NULL]
• name VARCHAR(200) [NOT NULL]",""
"7f98036a-ee90-4adb-8602-f12a083fe591","DataObject","ref.statement_status","Справочник статусов заявлений

Колонки:
• id SERIAL [PK]
• code VARCHAR(50) [NOT NULL]
• name VARCHAR(200) [NOT NULL]",""
"2548639c-f793-469c-9acd-66747c83e7fb","DataObject","cadastre.real_estate_object","D1: Справочник объектов недвижимости (BO: ЗУ, Здание, Помещение)

Колонки:
• id UUID [PK]
• cadastral_number VARCHAR(30) [NOT NULL]
• object_type_id INT [NOT NULL]
• address TEXT
• area NUMERIC(15,2)
• area_unit VARCHAR(10)
• parent_id UUID
• status VARCHAR(30)
• created_at TIMESTAMPTZ
• updated_at TIMESTAMPTZ",""
"9ad1f077-ad9d-42f4-ab92-39f1266d284d","DataObject","cadastre.cadastral_info_version","D2: Версии кадастровой информации (BO: Версия КИ)

Колонки:
• id UUID [PK]
• object_id UUID [NOT NULL]
• version_number INT [NOT NULL]
• change_type VARCHAR(50) [NOT NULL]
• extract_date DATE
• source_file TEXT
• is_current BOOLEAN
• created_at TIMESTAMPTZ
• created_by VARCHAR(200)",""
